formula,frac_Al,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Mo,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,hardness_true
AlCrCuFeNi,0.2,0.2,0,0.2,0,0.2,0.2,0,-4,13.38161136,0.040572041,1602.048,0.111211761,0.120549249,0.23176101,-4018.483408,5.359495929,7.6,67.4,6.86E-08,4898,59.8,0.3,7.604,180,3051.2,1602.048,1.035,1449.152,145.2,178,685.8,69.4,568.4,7108.4,1.468,1.974,1.39E-05,342
AlCrFeMoNi,0.2,0.2,0,0.2,0,0.2,0,0.2,-10.72,13.38161136,0.049506058,1909.694,0.148098805,0.094528047,0.242626851,-4025.203408,2.383841691,5.4,64.2,7.62E-08,5422,53.4,0.294,8.058,127.8,3393.6,1909.694,1.018,1483.906,163.2,217.8,811,63.8,800.6,7380.4,1.558,2.016,1.16E-05,912
CrCuFeMnNi,0,0.2,0.2,0.2,0,0.2,0.2,0,2.72,13.38161136,0.017749926,1719.154,0.048329124,0.097435695,0.145764819,-4011.763408,8.457739226,8.4,63.4,3.51E-07,4908,45.8,0.43,7.074,134.56,2959.6,1719.154,1,1240.446,154,203.6,676,64.4,535.2,8062.4,1.554,2.016,1.37E-05,296
CoCrCuFeNi,0,0.2,0,0.2,0.2,0.2,0.2,0,3.2,13.38161136,0.017879487,1768.954,0.050054802,0.095005461,0.145060263,-4011.283408,7.397329669,8.8,64.2,7.52E-08,4822,59,0.292,6.938,153,3132.8,1768.954,1,1363.846,166,205.8,776.8,79.2,743.6,8348.4,1.536,2.006,1.19E-05,133
CoCrCuFeNi,0,0.2,0,0.2,0.2,0.2,0.2,0,3.2,13.38161136,0.017879487,1768.954,0.050054802,0.095005461,0.145060263,-4011.283408,7.397329669,8.8,64.2,7.52E-08,4822,59,0.292,6.938,153,3132.8,1768.954,1,1363.846,166,205.8,776.8,79.2,743.6,8348.4,1.536,2.006,1.19E-05,286
CoCrFeMnNi,0,0.2,0.2,0.2,0.2,0.2,0,0,-4.16,13.38161136,0.017749926,1801.2,0.049259254,0.06673352,0.115992774,-4018.643408,5.79398038,8,61.8,3.60E-07,5138,41.2,0.424,6.986,74.56,2959.6,1801.2,1,1158.4,162,219.4,641.2,69.8,670,8058.4,1.568,2.024,1.30E-05,144
CoCuFeMnNi,0,0,0.2,0.2,0.2,0.2,0.2,0,1.76,13.38161136,0.017879487,1636.754,0.048918159,0.089999149,0.138917308,-4012.723408,12.44454882,9,64.8,3.38E-07,4664,59,0.45,6.962,135.76,3010.8,1636.754,1,1374.046,158,189.6,592,56.4,531.8,8414.4,1.526,2.004,1.53E-05,209
CrCuFeMoNi,0,0.2,0,0.2,0,0.2,0.2,0.2,4.64,13.38161136,0.026918398,1994.554,0.080570461,0.110047942,0.190618403,-4009.843408,5.752229841,7,62.6,7.42E-08,5116,57.2,0.292,7.48,160.8,3475.2,1994.554,0.983,1480.646,176,229.8,936.8,68.2,841,8624.4,1.612,2.04,1.03E-05,263
Al1.5CoCrFeNi,0.272727273,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,-14.28099174,13.25463943,0.04445721,1615.855455,0.124447012,0.105123999,0.229571011,-3990.67282,1.499726476,6.818181818,67.09090909,7.26E-08,5125.454545,56.63636364,0.299090909,7.741818182,130.4545455,3027.636364,1615.855455,1.047727273,1411.780909,146.1818182,182.5454545,614.0909091,70.36363636,654.4545455,6704,1.454545455,1.969090909,1.41E-05,402
Al2CoCrFeNi,0.333333333,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,-15.44444444,12.97646835,0.046770717,1558.99,0.130923105,0.106262821,0.237185925,-3908.384951,1.309868055,6.5,68.16666667,6.88E-08,5123.333333,57.83333333,0.303333333,7.93,139.1666667,3008,1558.99,1.058333333,1449.01,140.3333333,173.1666667,583.3333333,66.66666667,613.8333333,6370.333333,1.431666667,1.958333333,1.49E-05,432
Al2.5CoCrFeNi,0.384615385,0.153846154,0,0.153846154,0.153846154,0.153846154,0,0,-16.09467456,12.63285037,0.048154341,1510.873077,0.134796219,0.106747463,0.241543682,-3805.949785,1.185897449,6.230769231,69.07692308,6.56E-08,5121.538462,58.84615385,0.306923077,8.089230769,146.5384615,2991.384615,1510.873077,1.067307692,1480.511538,135.3846154,165.2307692,557.3076923,63.53846154,579.4615385,6088,1.412307692,1.949230769,1.55E-05,487
Al1.25CoCrFeNi0.75,0.25,0.2,0,0.2,0.2,0.15,0,0,-13.34,13.27656996,0.04382835,1644.3675,0.122686672,0.102865152,0.225551824,-3996.310987,1.636548737,6.85,66.45,7.50E-08,5134.5,55.15,0.296,7.6865,127.2,3031.5,1644.3675,1.04375,1387.1325,148,187.3,628.25,72.3,679.65,6794,1.4665,1.9755,1.37E-05,487
