Vgs,Ids,finger,width
0.375,1.0706745515503295e-05,2.0,100.0
0.4,0.0002045867044922182,2.0,100.0
0.425,0.0009872203104775575,2.0,100.0
0.45,0.002679103120835058,2.0,100.0
0.475,0.005484441443940999,2.0,100.0
0.5,0.009458254160535234,2.0,100.0
0.525,0.014499209559504756,2.0,100.0
0.55,0.020363874842186717,2.0,100.0
0.575,0.026700192827929264,2.0,100.0
0.6,0.033135131884179346,2.0,100.0
0.625,0.0395541746422804,2.0,100.0
0.65,0.045956995152034205,2.0,100.0
0.675,0.05234365483129684,2.0,100.0
0.7,0.05871421478827568,2.0,100.0
0.725,0.0650687358234784,2.0,100.0
0.75,0.07140727843164721,2.0,100.0
0.775,0.07762491714190356,2.0,100.0
0.8,0.08351942610385951,2.0,100.0
0.825,0.08907342851947314,2.0,100.0
0.85,0.0942870018068251,2.0,100.0
0.875,0.09916154981393879,2.0,100.0
0.9,0.10369871483386864,2.0,100.0
0.925,0.1079001426078113,2.0,100.0
0.95,0.11176740690536768,2.0,100.0
0.975,0.11530197974087221,2.0,100.0
1.0,0.11850521809495206,2.0,100.0
1.025,0.12137835757764509,2.0,100.0
1.05,0.12392250932540244,2.0,100.0
1.075,0.126138658511037,2.0,100.0
1.1,0.12802766369008378,2.0,100.0
1.125,0.12959025658372184,2.0,100.0
1.15,0.13082704207996904,2.0,100.0
1.175,0.1317384983280617,2.0,100.0
1.2,0.13232497685133188,2.0,100.0
0.0,4.28423370510098e-27,2.0,150.0
0.025,1.1752535904979896e-25,2.0,150.0
0.05,3.2239627832017647e-24,2.0,150.0
0.075,8.843994276219015e-23,2.0,150.0
0.1,2.4260898781256105e-21,2.0,150.0
0.125,6.655264479953874e-20,2.0,150.0
0.15,1.8256761918629133e-18,2.0,150.0
0.175,5.0082060113081834e-17,2.0,150.0
0.2,1.3738541129853856e-15,2.0,150.0
0.225,3.7687649419873106e-14,2.0,150.0
0.25,1.0338498865127995e-12,2.0,150.0
0.275,2.8360632841040123e-11,2.0,150.0
0.3,7.779906014996443e-10,2.0,150.0
0.325,2.134188534679832e-08,2.0,150.0
0.35,5.85451851163469e-07,2.0,150.0
0.375,1.606011827325495e-05,2.0,150.0
0.4,0.00030688005673832735,2.0,150.0
0.425,0.0014808304657163362,2.0,150.0
0.45,0.004018654681252587,2.0,150.0
0.475,0.008226662165911499,2.0,150.0
0.5,0.014187381240802852,2.0,150.0
0.525,0.021748814339257135,2.0,150.0
